accNumber,N_Mvt,Journal,Date,Piece_Number,S,Reference,Debit,Credit,Total
1010000000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"50 000,00","-50 000,00"
1010000000,,,,,,Solde compte créditeur,NaN,"50 000,00","-50 000,00"
1310000000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"3 379,33","-3 379,33"
1310000000,,,,,,Solde compte créditeur,NaN,"3 379,33","-3 379,33"
1381000000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"2 945,00","-2 945,00"
1381000000,,,,,,Solde compte créditeur,NaN,"2 945,00","-2 945,00"
1410000000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"73 045,13",NaN,"73 045,13"
1410000000,,,,,,Solde compte débiteur,"73 045,13",NaN,"73 045,13"
2121300000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"1 000,00",NaN,"1 000,00"
2121300000,,,,,,Solde compte débiteur,"1 000,00",NaN,"1 000,00"
2121310000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"1 588,00",NaN,"1 588,00"
2121310000,,,,,,Solde compte débiteur,"1 588,00",NaN,"1 588,00"
2121390000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"2 587,98","-2 587,98"
2121390000,,,,,,Solde compte créditeur,NaN,"2 587,98","-2 587,98"
2232000000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"15 893,39",NaN,"15 893,39"
2232000000,,,,,,Solde compte débiteur,"15 893,39",NaN,"15 893,39"
2232090000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"15 893,35","-15 893,35"
2232090000,,,,,,Solde compte créditeur,NaN,"15 893,35","-15 893,35"
2234000000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"47 249,26",NaN,"47 249,26"
2234000000,,,,,,Solde compte débiteur,"47 249,26",NaN,"47 249,26"
2234090000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"47 249,23","-47 249,23"
2234090000,,,,,,Solde compte créditeur,NaN,"47 249,23","-47 249,23"
2235000000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"4 889,76",NaN,"4 889,76"
2235000000,,,,,,Solde compte débiteur,"4 889,76",NaN,"4 889,76"
2235090000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"4 889,71","-4 889,71"
2235090000,,,,,,Solde compte créditeur,NaN,"4 889,71","-4 889,71"
2238100000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"68 102,23",NaN,"68 102,23"
2238100000,,,,,,Solde compte débiteur,"68 102,23",NaN,"68 102,23"
2238190000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,NaN,"68 102,10","-68 102,10"
2238190000,,,,,,Solde compte créditeur,NaN,"68 102,10","-68 102,10"
2238190000,5015,AN,2021-01-01 00:00:00,40,S,REOUVERTURE AU 01.01.2021,"6 690,00",NaN,"6 690,00"
2238190000,,,,,,Solde compte débiteur,"6 690,00",NaN,"6 690,00"
2238190000,4941,BLU43,2021-05-31 00:00:00,99,B,BODRY Alex 210055,NaN,"4 370,27","-4 370,27"
2238190000,4910,V,2021-05-31 00:00:00,151181,B,BODRY Alex 210055,"4 370,27","4 370,27",
2238190000,,,,,,Compte soldé,"4 370,27","4 370,27",NaN
2238190000,5015,AN,2021-01-01 00:00:00,40,S,CAISSE CLIENTS MODESTO,"170,00",NaN,"170,00"
2238190000,4714,CS,2021-01-29 00:00:00,1112,B,CAISSE CLIENTS SANDRA,NaN,"46,95","123,05"
2238190000,4714,CS,2021-01-29 00:00:00,1112,B,CAISSE CLIENTS SANDRA,NaN,"3,66","119,39"
2238190000,4714,CS,2021-01-29 00:00:00,1112,B,CAISSE CLIENTS SANDRA,NaN,"36,68","82,71"
2238190000,4715,BLU43,2021-01-31 00:00:00,95,B,CAISSE CLIENTS MODESTO,NaN,"170,00","-87,29"
2238190000,4711,V,2021-01-19 00:00:00,151129,B,CAISSE CLIENTS SANDRA,"36,68",NaN,"-50,61"
2238190000,4712,V,2021-01-19 00:00:00,151130,B,CAISSE CLIENTS SANDRA,"3,66",NaN,"-46,95"
2238190000,4713,V,2021-01-13 00:00:00,151131,B,CAISSE CLIENTS SANDRA,"46,95","46,95",
2238190000,4783,CS,2021-02-02 00:00:00,1126,B,CAISSE CLIENTS,NaN,"92,66","-92,66"
2238190000,4782,V,2021-02-28 00:00:00,151144,B,CAISSE CLIENTS,"92,66","92,66",
2238190000,4907,CS,2021-03-31 00:00:00,1172,B,CAISSE CLIENTS,NaN,"190,46","-190,46"
2238190000,4835,V,2021-03-09 00:00:00,151163,B,CAISSE CLIENTS,"190,46","190,46",
2238190000,4992,CS,2021-06-16 00:00:00,1186,B,CAISSE CLIENTS,NaN,"66,76","-66,76"
2238190000,4992,CS,2021-06-16 00:00:00,1186,B,CAISSE CLIENTS,NaN,"6,18","-72,94"
2238190000,4990,V,2021-06-18 00:00:00,151199,B,CAISSE CLIENTS,"66,76",NaN,"-6,18"
2238190000,4991,V,2021-06-18 00:00:00,151200,B,CAISSE CLIENTS,"6,18","6,18",
2238190000,,,,,,Compte soldé,"613,35","613,35",NaN
2238190000,4728,BLU05,2021-01-22 00:00:00,1121,B,CLIENTS CETREL,NaN,"27,63","-27,63"
2238190000,4731,BLU05,2021-01-28 00:00:00,1124,B,CLIENTS CETREL LORANG,NaN,"83,16","-110,79"
2238190000,4709,V,2021-01-27 00:00:00,151127,B,CLIENTS CETREL LORANG,"83,16",NaN,"-27,63"
2238190000,4710,V,2021-01-20 00:00:00,151128,B,CLIENTS CETREL,"27,63","27,63",
2238190000,4838,BLU05,2021-03-03 00:00:00,1144,B,CLIENTS CETREL,NaN,"37,45","-37,45"
2238190000,4834,V,2021-03-02 00:00:00,151162,B,CLIENTS CETREL,"37,45","37,45",
2238190000,4998,BLU05,2021-06-10 00:00:00,1191,B,CLIENTS CETREL,NaN,"21,16","-21,16"
2238190000,4999,V,2021-06-10 00:00:00,151201,B,CLIENTS CETREL,"21,16","21,16",
2238190000,,,,,,Compte soldé,"169,40","169,40",NaN
2238190000,4941,BLU43,2021-05-31 00:00:00,99,B,CLEES 210051,NaN,"1 207,44","-1 207,44"
2238190000,4941,BLU43,2021-05-31 00:00:00,99,B,CLEES 210052,NaN,"2 274,74","-3 482,18"
2238190000,4914,V,2021-05-25 00:00:00,151185,B,CLEES 210051,"1 207,44",NaN,"-2 274,74"
2238190000,4915,V,2021-05-18 00:00:00,151186,B,CLEES 210052,"2 274,74","2 274,74",
2238190000,,,,,,Compte soldé,"3 482,18","3 482,18",NaN
2238190000,5014,BLU43,2021-06-30 00:00:00,100,B,CREAIMMO SARL 210063,NaN,"5 500,00","-5 500,00"
2238190000,4975,V,2021-06-11 00:00:00,151197,B,CREAIMMO SARL 210063,"5 500,00","5 500,00",
2238190000,,,,,,Compte soldé,"5 500,00","5 500,00",NaN
2238190000,5015,AN,2021-01-01 00:00:00,40,S,(V) FONDS DU LOGEMENT 190100,"407,16",NaN,"407,16"
2238190000,5015,AN,2021-01-01 00:00:00,40,S,FONDS DU LOGEMENT 200069,"4 685,48",NaN,"5 092,64"
2238190000,5015,AN,2021-01-01 00:00:00,40,S,FONDS DU LOGEMENT 200088,"12 441,12",NaN,"17 533,76"
2238190000,5015,AN,2021-01-01 00:00:00,40,S,FONDS DU LOGEMENT 200090,"6 933,86",NaN,"24 467,62"
2238190000,5015,AN,2021-01-01 00:00:00,40,S,FONDS DU LOGEMENT 200092,"2 242,93",NaN,"26 710,55"
2238190000,4687,V,2021-01-26 00:00:00,151125,B,FONDS DU LOGEMENT 210002,"5 329,10",NaN,"32 039,65"
